timestamp,open,high,low,close,volume,turnover
2026-01-13 10:01:00,92273.0,92273.1,92166.7,92181.5,50.411,4648386.6176
2026-01-13 10:02:00,92181.5,92262.3,92181.4,92239.3,13.345,1230868.7211
2026-01-13 10:03:00,92239.3,92254.1,92187.3,92254.0,24.574,2266102.5316
2026-01-13 10:04:00,92254.0,92254.0,92229.6,92249.9,6.881,634730.7521
2026-01-13 10:05:00,92249.9,92260.0,92228.3,92239.9,14.152,1305415.9385
2026-01-13 10:06:00,92239.9,92245.9,92192.8,92234.6,22.699,2093327.4263
2026-01-13 10:07:00,92234.6,92269.0,92234.6,92253.0,21.367,1971195.3135
2026-01-13 10:08:00,92253.0,92312.8,92245.6,92295.2,97.772,9023657.5122
2026-01-13 10:09:00,92295.2,92303.3,92270.4,92270.5,20.613,1902408.3105
2026-01-13 10:10:00,92270.5,92300.6,92243.8,92298.1,22.216,2050099.3698
2026-01-13 10:11:00,92298.1,92301.5,92279.7,92279.8,11.893,1097642.7084
2026-01-13 10:12:00,92279.8,92279.8,92245.7,92245.8,8.437,778431.8772
2026-01-13 10:13:00,92245.8,92245.8,92213.8,92221.4,11.12,1025586.6132
2026-01-13 10:14:00,92221.4,92237.7,92199.1,92199.1,13.803,1272957.4577
2026-01-13 10:15:00,92199.1,92199.2,92138.0,92143.4,87.413,8056315.3968
2026-01-13 10:16:00,92143.4,92143.4,92100.0,92109.2,27.155,2501564.3582
2026-01-13 10:17:00,92109.2,92152.6,92105.7,92130.6,25.889,2385133.1748
2026-01-13 10:18:00,92130.6,92180.6,92130.6,92176.2,21.9,2018409.2419
2026-01-13 10:19:00,92176.2,92187.6,92172.9,92187.6,7.825,721311.9065
2026-01-13 10:20:00,92187.6,92187.6,92162.3,92163.9,18.978,1749340.9308
2026-01-13 10:21:00,92163.9,92164.0,92163.9,92163.9,4.335,399530.5986
2026-01-13 10:22:00,92163.9,92226.7,92163.9,92204.6,14.759,1360877.7173
2026-01-13 10:23:00,92204.6,92204.7,92172.8,92180.8,12.398,1142901.6768
